18,14
1,20
1,6
5,5
6,2
1,4
1,2
8,5
0,2
6,5
7,7
8,3
1,7
4,7
4,5
8,3
2,3
7,2
1,28
11,16
8,3
0,13
7,18
4,3
2,16
10,6
0,2
6,3
10,12
14,16
21,5
10,13
0,3
2,9
13,4
9,7
7,5
4,21
19,7
2,8
2,7
1,3
15,9
10,4
7,10
4,10
0,8
2,4
1,3
2,7
9,12
1,17
5,7
7,3
12,5
9,50
3,3
1,10
1,10
7,9
24,15
2,13
18,3
9,34
0,8
3,28
4,9
12,24
2,11
2,10
15,19
4,15
1,31
2,24
1,4
2,5
21,12
7,68
9,4
4,6
17,4
2,10
4,7
3,15
9,4
2,27
1,8
3,14
4,8
22,11
1,4
19,13
1,2
2,3
4,7
0,16
8,4
1,14
6,4
2,4
4,5
4,9
0,26
7,10
14,14
5,5
4,4
10,5
2,46
2,23
18,28
8,6
4,5
8,3
2,12
6,9
17,19
9,3
17,4
1,7
9,3
2,9
15,3
4,14
1,3
3,6
5,3
24,2
4,3
16,9
7,4
4,2
22,16
6,6
1,13
7,12
16,6
5,5
9,8
15,7
29,10
5,11
10,13
27,2
13,6
8,5
2,17
14,16
1,26
3,4
1,9
12,7
23,6
5,2
4,3
10,4
33,5
5,4
27,10
1,10
3,6
12,14
3,9
0,35
7,12
2,10
8,15
8,10
4,3
15,2
7,4
3,3
10,5
2,4
9,4
11,9
14,15
4,2
0,4
11,5
2,16
8,3
8,7
5,12
11,7
5,20
2,5
2,28
1,4
3,5
6,32
0,13
22,5
7,4
14,3
6,5
1,16
6,4
2,15
25,13
5,4
4,16
12,5
22,4
3,7
10,8
6,12
16,22
7,2
3,22
10,11
20,3
9,17
2,2
6,14
6,5
1,7
1,3
4,5
5,8
5,18
1,3
44,10
4,3
17,2
11,16
0,9
5,40
5,22
27,2
5,8
9,3
0,2
7,17
0,22
3,7
6,10
0,62
5,19
6,10
14,6
10,2
3,2
2,4
21,3
2,4
8,4
0,5
8,13
8,20
16,4
5,6
12,22
0,8
28,5
10,8
1,8
4,8
7,4
11,16
2,3
3,6
0,12
8,4
3,11
8,10
2,8
17,6
25,3
7,5
14,7
2,3
2,7
1,3
2,7
1,8
0,6
10,23
2,6
3,10
2,5
9,11
7,5
1,2
11,9
6,16
22,10
12,25
10,6
1,6
3,8
3,15
6,8
0,22
11,30
6,2
2,2
2,13
10,30
6,3
29,45
6,4
0,5
1,2
1,6
3,14
7,13
5,2
5,11
2,9
5,16
15,12
1,7
2,32
1,27
21,5
13,7
21,10
0,3
8,7
6,2
15,14
3,4
23,2
0,7
5,9
18,9
4,4
6,16
5,11
17,5
8,10
17,6
3,16
8,2
3,7
1,12
21,2
26,15
11,18
2,3
0,27
22,17
16,4
8,7
19,9
13,7
4,3
15,6
13,23
10,7
9,8
3,6
1,15
20,28
1,4
5,8
17,25
5,2
6,13
3,12
36,12
7,24
4,3
11,21
5,7
6,4
8,11
2,3
4,8
5,7
8,22
10,4
12,3
38,5
3,45
4,5
0,8
3,3
1,2
1,9
3,5
4,5
11,2
16,9
2,4
12,3
1,8
12,4
7,6
5,4
2,19
0,5
7,5
10,11
27,6
3,6
0,5
1,7
3,6
7,6
15,18
0,7
9,4
0,2
3,3
6,10
3,20
4,10
1,11
10,12
3,28
11,5
3,6
7,22
8,13
11,9
7,6
12,14
3,5
5,33
1,6
2,2
12,10
1,4
26,11
7,9
2,3
2,6
4,10
17,24
3,12
3,6
5,5
1,4
9,9
2,2
12,17
3,3
1,4
10,2
1,9
19,4
5,14
7,3
7,6
10,7
7,7
12,15
3,13
9,6
4,16
0,7
1,5
1,20
3,10
4,9
1,3
1,2
3,6
7,10
6,7
2,3
21,11
1,10
7,5
3,7
2,2
19,9
4,5
5,6
2,6
5,42
14,2
23,6
9,2
11,2
17,9
9,3
11,7
17,9
11,17
13,15
28,21
36,16
5,2
1,7
18,13
8,6
1,5
4,6
11,4
1,7
10,8
11,27
1,2
1,14
4,12
3,3
21,5
