11,5,22
11,17,3
3,38,22
8,14,33
5,7,45
10,5,1
4,29,6
11,33,18
41,111,4
4,0,7
2,6,35
0,3,12
8,9,15
14,18,45
62,53,18
4,9,11
10,30,2
5,7,20
21,19,0
1,13,12
20,36,18
5,10,4
6,10,28
26,32,7
5,12,14
0,31,1
1,16,4
8,11,7
12,18,13
14,4,12
13,19,1
3,1,12
21,8,5
3,12,3
63,25,10
14,7,0
0,4,29
5,1,6
4,5,6
56,0,33
39,13,16
2,27,51
4,1,6
6,27,18
4,6,14
12,6,2
0,31,44
30,6,0
25,6,5
8,14,40
9,19,33
7,9,1
36,4,10
10,14,39
8,2,21
4,28,34
3,23,38
6,5,12
4,11,16
8,15,3
40,17,4
10,19,3
1,4,0
4,2,10
2,9,33
2,1,14
3,3,13
15,32,23
10,2,2
55,23,1
46,7,9
8,32,35
27,14,4
6,156,26
33,38,2
13,3,8
4,2,23
1,14,12
31,1,12
18,16,85
20,0,38
0,13,7
28,21,5
23,10,11
1,4,0
3,29,25
12,21,13
14,8,2
1,10,19
43,68,14
5,62,1
38,9,13
3,8,26
3,4,2
4,2,3
9,5,15
6,15,6
18,3,1
3,0,6
3,2,12
13,1,33
42,26,0
0,10,9
23,15,18
4,40,4
28,10,3
26,3,1
1,10,11
2,5,21
5,0,1
1,5,24
14,31,14
27,41,6
17,37,5
8,15,17
24,3,9
1,11,33
42,1,22
57,2,3
10,11,45
6,4,0
7,12,16
0,1,3
2,14,4
9,13,4
1,7,6
16,2,14
20,11,17
8,19,19
23,15,8
11,9,22
20,4,13
1,10,12
1,4,24
37,4,8
6,15,7
4,1,3
2,7,16
16,8,0
21,18,44
2,9,3
9,18,20
33,12,16
23,15,13
65,11,3
8,21,10
39,16,1
8,24,0
5,11,14
69,3,21
8,22,9
1,19,5
12,2,8
38,16,10
14,26,1
2,2,13
25,12,1
27,15,10
17,38,11
8,10,3
1,4,1
1,21,27
6,17,43
0,5,2
9,10,2
5,25,26
9,0,4
29,1,5
14,11,12
15,17,23
0,21,3
4,12,2
19,24,25
24,24,10
5,23,21
4,58,9
1,21,2
1,11,0
5,14,9
13,25,1
8,12,22
28,29,14
20,9,13
16,10,28
2,8,24
41,5,7
2,3,2
1,7,27
11,21,7
30,5,10
5,35,0
6,0,46
17,22,37
15,6,20
8,36,7
22,1,18
0,6,16
26,13,3
11,7,2
10,3,9
1,16,14
3,44,6
13,16,4
21,13,25
21,11,11
13,3,28
23,1,14
11,28,28
4,7,4
12,4,8
2,18,15
9,5,18
2,1,28
7,25,49
1,51,21
50,11,9
4,20,10
27,4,12
3,16,14
63,20,9
7,0,20
2,26,17
10,7,0
16,12,16
0,10,0
38,59,5
